user,their metric / their model,their metric / zero-shot (ours),their metric / C2-lo (ours),our metric / their model,our metric / zero-shot (ours),our metric / C2-lo (ours)
40,0.3706,0.1968,0.4065,0.4202,0.1998,0.5092
38,0.3312,0.2787,0.3081,0.3282,0.3649,0.3723
35,0.3297,0.1742,0.1478,0.4737,0.2056,0.2137
47,0.2592,0.1748,0.2674,0.2445,0.1840,0.3620
44,0.2081,0.1538,0.3250,0.2629,0.1525,0.4426
33,0.2068,0.2069,0.2918,0.2682,0.1858,0.3995
46,0.1732,0.2462,0.2492,0.1289,0.2130,0.2716
45,0.1719,0.1083,0.1753,0.1587,0.0762,0.2206
48,0.1609,0.1048,0.1836,0.2672,0.1087,0.3109
41,0.1482,0.3086,0.4750,0.1550,0.4186,0.5241
34,0.1325,0.2100,0.2958,0.0746,0.2706,0.3815
42,0.1236,0.3634,0.5283,0.1125,0.4916,0.6809
39,0.1099,0.1815,0.2775,0.1100,0.1792,0.3816
36,0.0978,0.1671,0.2069,0.1203,0.1558,0.2810
43,0.0920,0.1772,0.2138,0.1010,0.1847,0.2918
37,0.0842,0.1532,0.2488,0.0917,0.1565,0.2703
32,0.0677,0.2949,0.4873,0.0614,0.4243,0.4535
